Manuscript,coteString
http://rdfh.ch/0112/roud-oeuvres/ceermz2qSlKlMPeAkFVibA,MS 4 D/28a
http://rdfh.ch/0112/roud-oeuvres/wBiSkru5Tia705GL8hYGSA,MS 4 D/28a
http://rdfh.ch/0112/roud-oeuvres/95lFw57kRI-QRPBRu-zKyg,MS 1 G/3a
http://rdfh.ch/0112/roud-oeuvres/gqqnKBAaQx-4EntEAC0wWQ,MS 1 G/3b
http://rdfh.ch/0112/roud-oeuvres/3p3wbQrZSduU5umiFkvrGA,MS 1 G/2a
http://rdfh.ch/0112/roud-oeuvres/e10joRpdQAqtiMFkkDtxLA,MS 4 D/25a
http://rdfh.ch/0112/roud-oeuvres/UU-JIjDXRxWYT0x3sivkdg,MS 1 G/5c
http://rdfh.ch/0112/roud-oeuvres/jmRpx7yDSl6QWUM_wv0ZMw,MS 1 G/5b
http://rdfh.ch/0112/roud-oeuvres/QgQcVwjSQm2qeC9qLaYXnQ,MS 1 G/5a
http://rdfh.ch/0112/roud-oeuvres/tcWCrCUjTgqRz4Fp3ijVmA,MS 1 I/1a
http://rdfh.ch/0112/roud-oeuvres/9zAj96TyTU6QVTg8566RlQ,MS 1 I/2a
http://rdfh.ch/0112/roud-oeuvres/V1rdMPIZRc2F7UulhngM-Q,MS 1 I/13a
http://rdfh.ch/0112/roud-oeuvres/ihYpr6KTTIyP5H54h799rQ,MS 1 I/2e
http://rdfh.ch/0112/roud-oeuvres/UDfggvXDRU-bUUCF5vYbqA,MS 1 A/2a
http://rdfh.ch/0112/roud-oeuvres/oasVpjUZSq-1sh4qqP9IhQ,MS 1 B/1a
http://rdfh.ch/0112/roud-oeuvres/HKgMFss7QheHzZkyDyo39A,MS 1 I/2d
http://rdfh.ch/0112/roud-oeuvres/LE11mGtRTr6eW-mWwVCj-A,MS 1 I/7d
http://rdfh.ch/0112/roud-oeuvres/ngwUr14oQkKmCDQrtKCIJw,MS 1 I/7d
http://rdfh.ch/0112/roud-oeuvres/7eb0lEf9RqiA0NPOfEwRhA,MS 1 I/7e
http://rdfh.ch/0112/roud-oeuvres/2VycOGPHQz-kGBer4EkH0w,MS 3 A/1a
http://rdfh.ch/0112/roud-oeuvres/fUWmQCSPTAiI3DQVJr6ekg,MS 1 C/1a
http://rdfh.ch/0112/roud-oeuvres/GZC66bo8TNyOUk7mRMPwUA,MS 1 C/2a
http://rdfh.ch/0112/roud-oeuvres/uOx1OqElSb6CY7nvmGLarw,MS 2 D/3b
http://rdfh.ch/0112/roud-oeuvres/TOJ18ohtRzmrvI5cDSrlXw,MS 1 D/4f
http://rdfh.ch/0112/roud-oeuvres/Nc2DZtqfSVWEnXy41JarAA,MS 1 D/3b
http://rdfh.ch/0112/roud-oeuvres/xDn1Lx0XS6C-sXqULTEAGQ,MS 1 D/1a
http://rdfh.ch/0112/roud-oeuvres/XTbotbbfRPWy9s7ZDHe20g,MS 1 D/5a
http://rdfh.ch/0112/roud-oeuvres/U9oEK8SNQgWA0G_D6ALcug,CG 49/4
http://rdfh.ch/0112/roud-oeuvres/ztdB2GFtRLqCzIC9qD6euQ,"1920 bis, 67"
http://rdfh.ch/0112/roud-oeuvres/LD1jRE4DRFafMWQDayq3hw,MS 5 A/16b
