Manuscript,coteString,
http://rdfh.ch/0112/D5Qy-E6FSVCiEek8Dw3ZFA,MS 5 A/10a,
http://rdfh.ch/0112/AvZ9X9SzTVqZsXKGcRBr0A,MS 5 A/19a,
http://rdfh.ch/0112/PLKICo1MTPqDc1Ly0Dqh6A,MS 5 A/18a,
http://rdfh.ch/0112/tUjNcdZDTeyU9q8tGPUNTw,MS 5 A/21a,
http://rdfh.ch/0112/IQr7k5ZbS8yxCe-4B9Rsgw,MS 5 A/17b,
http://rdfh.ch/0112/JsOQH0NNTtOGsnZhPtTztA,MS 2 C/7a,
http://rdfh.ch/0112/GjBwBRnyREq0SVRmux98Cw,MS 4 D/22a,
http://rdfh.ch/0112/kPjvVYo5TtqbmicJ265Npw,MS 5 A/11a,
http://rdfh.ch/0112/3lTyHAdfTvuUdfsm_9R_xA,MS 2 D/4a,
http://rdfh.ch/0112/icF72_kwSVW6sguBFMf8Sw,MS 1 E/6a,
http://rdfh.ch/0112/KgRloU4bR72dBOWoU1ibtw,MS 1 E/6a,
http://rdfh.ch/0112/S2Qm3tPNQdaOJ5ERLF0zdw,MS 2 F/5b,
http://rdfh.ch/0112/X5bq85xORTK1pdl4vQ829Q,MS 2 A/2a,
http://rdfh.ch/0112/V3cDPQpkTn-TlMREHcDjSw,MS 5 A/14a,
http://rdfh.ch/0112/Te30n1aGTseJ_V41uTBxBg,MS 1 E/5a,
http://rdfh.ch/0112/m2HvGQxVTEGaYOteUPR6hA,MS 5 A/12a,
http://rdfh.ch/0112/QAgy8w_ZQUiyStjvBVFM0w,MS 5 A/13a,
http://rdfh.ch/0112/DWVFgWx0SqOvsZ_p59wbHA,MS 5 A/13b,
http://rdfh.ch/0112/7vAnkeNVSxKi8EtQaLjohg,MS 7 E/2a,
http://rdfh.ch/0112/rpdZJtqjR_mG2VmLybPmZg,MS 2 D/9a,
http://rdfh.ch/0112/tv8HhTnESfuwxUfrHU1ErQ,MS 2 C/13a,
http://rdfh.ch/0112/xLLX9BhyTkObvL1HbDRhMA,MS 2 D/1a,
http://rdfh.ch/0112/5kGbZ7ItTdWFXWJvhZCGrw,CG 24,
http://rdfh.ch/0112/MFPw4340RpSkLUtyqzz1fg,CG 20,
http://rdfh.ch/0112/bnlD8TXSQDeijhpxCwy96w,MS 6 B3/6a,
http://rdfh.ch/0112/hAb4ut74RPWYXJDFnygCag,MS 6 C2/2a,
http://rdfh.ch/0112/h-FUGlHHSiuhps7ZnV9oZA,MS 1 G/5a,
http://rdfh.ch/0112/4ZYWbuLyR16Tp49EnV16xw,MS 2 F/5n,
http://rdfh.ch/0112/qPkhCh8zQmOs3wj3q0b-eg,MS 1 H1/6b,
