pub,pubLabel
http://rdfh.ch/0112/L37z2AfAQimP_B7E9jvLYw,pub_Roud Gustave_Air de la solitude et autres écrits_2002
http://rdfh.ch/0112/4WTPiaeqS_6uLd0Qwhl7UQ,pub_Roud Gustave_Air de la solitude suivi de Campagne perdue_1995
http://rdfh.ch/0112/pKBOXI-GSEyVBBECW1Xgkw,pub_Roud Gustave_Campagne perdue_1972-04-15
http://rdfh.ch/0112/BbnLAVeaS8ChIeTqMi4wbQ,pub_Roud Gustave_Écrits_1950-09-15
http://rdfh.ch/0112/rZGaOv3fS4apqO0svSKKxw,pub_Roud Gustave_Écrits II_1978
http://rdfh.ch/0112/l4W4K1uOSsGJ-mQSj5CZkA,pub_Roud Gustave_Essai pour un paradis_1933-05
http://rdfh.ch/0112/tjXDi9_VQRS711AETwDeZg,pub_Roud Gustave_Essai pour un paradis_1978
http://rdfh.ch/0112/LGyTg8HSTNaCaCAknTAVWw,pub_Roud Gustave_Essai pour un paradis suivi du Petit Traité de la marche en plaine_1984
http://rdfh.ch/0112/MBnQ02C1Q2aIC8iIEA3NMg,pub_Roud Gustave_Feuillets_1929-10
http://rdfh.ch/0112/Lm5gHz3MSKKve-sKPBdlnw,pub_Roud Gustave_Haut-Jorat_2001
http://rdfh.ch/0112/tox6BvZGSkuSmn8kuIPqzw,pub_Roud Gustave_Haut-Jorat_1949-12-31
http://rdfh.ch/0112/ZcDPoKScRc2FeVeaOdZBtQ,"pub_Roud Gustave_Haut-Jorat, Texte & photographies_1978"
http://rdfh.ch/0112/svsVDi4xTe6o2KqoLQ37CA,pub_Roud Gustave_Ici ce conte_1997
http://rdfh.ch/0112/xT56jykER8-mlgxi-jFXsA,pub_Roud Gustave_Le Repos du cavalier_1958-10
http://rdfh.ch/0112/hfgoD_TORjCLAL-YvToVNA,pub_Roud Gustave_Le Repos du cavalier_2003
http://rdfh.ch/0112/8orv4B4cRN6qGPNl_RilQQ,pub_Roud Gustave_Les Fleurs et les Saisons_1991
http://rdfh.ch/0112/TQcAaNeDT1e2CmEFtJePSA,"pub_Roud Gustave_Petit traité de la marche en plaine suivi de lettres, dialogues et morceaux_1932-06"
http://rdfh.ch/0112/MMrSn9vvQ_GYYHZ0gV4-gQ,pub_Roud Gustave_Poésie_2003
http://rdfh.ch/0112/D2oSkK2-QA-gw4ZVemxIBQ,pub_Roud Gustave_Pour un moissonneur_1941-04-07
http://rdfh.ch/0112/Sp_Gcm6fTsGBuYitYex_SA,pub_Roud Gustave_Requiem_1967
http://rdfh.ch/0112/SuhMzriYT6KaPVAjcWSRTw,pub_Roud Gustave_Écrits_1978
